rebal_date,umap_x,umap_y,regime
2016-09-08,13.7628975,4.7008615,2
2016-09-16,13.694088,4.4878654,2
2016-09-23,13.799995,4.56642,2
2016-09-30,14.039802,4.66206,2
2016-10-07,14.081136,4.7076263,2
2016-10-18,13.617592,5.931073,2
2016-10-25,13.581757,6.0284925,2
2016-11-02,13.761671,5.590252,2
2016-11-09,13.861774,5.389949,2
2016-11-17,13.469346,6.3523574,2
2016-11-24,13.49274,6.4645905,2
2016-12-01,11.633069,3.7730644,2
2016-12-08,11.634435,3.7314193,2
2016-12-15,11.611662,3.7060955,2
2016-12-22,11.712181,3.7092175,2
2016-12-29,11.660503,3.7388248,2
2017-01-05,11.579991,3.6157222,2
2017-01-12,11.544127,3.4843862,2
2017-01-19,11.498707,3.5576758,2
2017-01-27,11.483902,3.5636337,2
2017-02-03,11.469736,3.5743368,2
2017-02-10,11.570277,3.3166604,2
2017-02-17,11.569418,3.2702892,2
2017-02-27,11.650767,3.3245723,2
2017-03-06,11.647578,3.3072393,2
2017-03-14,11.77995,3.3616078,2
2017-03-21,11.980903,3.3438034,2
2017-03-28,12.41988,3.2512658,2
2017-04-05,12.334935,3.3615966,2
2017-04-12,13.560785,3.4082456,2
2017-04-20,13.172774,3.3162646,2
2017-04-27,12.962837,3.3042195,2
2017-05-05,13.067021,3.3445387,2
2017-05-12,15.231811,4.685169,2
2017-05-19,16.528399,4.256758,2
2017-05-26,16.518486,4.242239,2
2017-06-02,16.608042,4.2798715,2
2017-06-09,16.535725,4.245707,2
2017-06-16,16.55259,4.2013345,2
2017-06-23,16.510324,4.214939,2
2017-07-03,16.522459,4.213023,2
2017-07-10,16.558802,4.20281,2
2017-07-17,16.50983,4.221303,2
2017-07-24,17.122004,4.0146613,2
2017-07-31,17.015587,3.9571497,2
2017-08-07,16.976849,3.9486043,2
2017-08-14,16.870777,3.9288287,2
2017-08-22,17.067316,4.039589,2
2017-08-30,15.936845,3.7999444,2
2017-09-06,15.920696,3.7672102,2
2017-09-13,15.932769,3.7774818,2
2017-09-20,15.797449,3.6092257,2
2017-09-27,15.636724,3.565137,2
2017-10-05,15.913766,3.7551453,2
2017-10-12,15.895418,3.7754335,2
2017-10-19,15.807569,3.644528,2
2017-10-27,15.798303,3.611973,2
2017-11-03,15.720997,3.722152,2
2017-11-10,15.958167,3.7975223,2
2017-11-17,15.982008,3.8660452,2
2017-11-24,15.728807,3.5688322,2
2017-12-01,15.69766,3.5396948,2
2017-12-08,15.69037,3.5225823,2
2017-12-15,15.441157,3.5963936,2
2017-12-22,15.446752,3.57056,2
2018-01-01,15.492463,3.5507624,2
2018-01-08,15.586216,3.5323727,2
2018-01-15,15.587166,3.5443082,2
2018-01-22,15.415696,3.6143322,2
2018-01-30,15.607125,3.8721156,2
2018-02-06,15.432459,3.6036026,2
2018-02-14,15.208708,3.9585304,2
2018-02-21,15.337924,3.8292477,2
2018-02-28,14.995272,4.1760235,2
2018-03-08,14.820883,4.3658857,2
2018-03-15,14.7565565,4.484605,2
2018-03-22,14.841372,4.538275,2
2018-04-02,14.765298,4.498328,2
2018-04-09,13.799108,4.419961,2
2018-04-16,14.503368,4.3351583,2
2018-04-23,14.049194,4.8980613,2
2018-04-30,14.151504,5.0843573,2
2018-05-08,14.028204,4.924073,2
2018-05-15,14.049997,4.9367456,2
2018-05-22,14.03372,4.803568,2
2018-05-29,14.186718,4.492007,2
2018-06-05,15.13996,4.59065,2
2018-06-12,15.167304,4.623633,2
2018-06-19,15.220564,4.695765,2
2018-06-26,15.248927,4.6694317,2
2018-07-03,15.152672,4.7272468,2
2018-07-10,15.191101,4.7262206,2
2018-07-17,15.234431,4.704283,2
2018-07-24,14.739051,4.509365,2
2018-07-31,14.259404,5.0425997,2
2018-08-07,16.09807,4.1312704,2
2018-08-14,16.022364,4.018945,2
2018-08-23,16.018764,3.9525795,2
2018-08-30,16.059078,3.9974089,2
2018-09-06,16.02247,3.932925,2
2018-09-14,16.042545,3.957937,2
2018-09-24,16.138327,4.1334524,2
2018-10-01,15.566092,4.3976693,2
2018-10-09,13.894079,7.7599883,2
2018-10-16,13.878958,7.74636,2
2018-10-24,13.906499,7.776215,2
2018-10-31,13.891239,7.7627425,2
2018-11-07,13.877357,7.7421045,2
2018-11-15,13.85182,7.7112856,2
2018-11-22,13.814709,7.66022,2
2018-11-30,13.812757,7.652798,2
2018-12-07,13.764125,7.5786,2
2018-12-14,13.716417,7.50102,2
2018-12-21,13.727359,7.520568,2
2018-12-31,13.714064,7.4943104,2
2019-01-07,13.677002,7.4200997,2
2019-01-14,13.675137,7.4078918,2
2019-01-21,13.654398,7.3270426,2
2019-01-28,13.637265,7.3068643,2
2019-02-04,13.626077,7.268457,2
2019-02-11,13.599934,7.1695657,2
2019-02-19,13.570112,6.975766,2
2019-02-26,13.571931,6.984326,2
2019-03-06,13.57065,6.978196,2
2019-03-13,13.553768,6.954348,2
2019-03-20,13.563444,6.943793,2
2019-03-28,13.533352,6.820576,2
2019-04-05,14.095409,5.168592,2
2019-04-12,14.111834,5.160021,2
2019-04-23,13.870618,5.284547,2
2019-05-02,14.174842,5.110114,2
2019-05-09,14.190668,5.1399693,2
2019-05-16,14.120395,5.159261,2
2019-05-23,14.209403,4.1409364,2
2019-05-30,14.213625,4.1192694,2
2019-06-07,14.201804,4.0969334,2
2019-06-14,14.159692,4.651971,2
2019-06-21,14.314657,3.9843948,2
2019-06-28,14.3342,3.975445,2
2019-07-05,14.440994,3.9747756,2
2019-07-12,14.239555,3.9884431,2
2019-07-19,14.157032,3.9186943,2
2019-07-26,13.31426,3.4234762,2
2019-08-02,12.205948,4.0976067,2
2019-08-09,12.128529,3.872533,2
2019-08-20,12.406102,3.6357858,2
2019-08-27,12.399751,3.424351,2
2019-09-04,12.793047,3.3094862,2
2019-09-12,12.553758,3.2889638,2
2019-09-19,12.78008,3.3140347,2
2019-09-26,10.559955,2.5967407,1
2019-10-04,11.261462,2.4731615,1
2019-10-14,11.280248,2.472812,1
2019-10-22,11.28317,2.473493,1
2019-10-29,11.2857,2.4632423,1
2019-11-05,11.302594,2.4578116,1
2019-11-13,11.29806,2.461427,1
2019-11-20,11.532739,2.4451413,2
2019-11-27,11.585158,2.4455967,2
2019-12-04,11.544406,2.442958,2
2019-12-11,11.62574,2.45523,2
2019-12-18,11.724238,2.5113623,2
2019-12-26,11.72134,2.5032516,2
2020-01-02,11.737186,2.4968412,2
2020-01-09,11.882691,2.5590863,2
2020-01-16,11.911913,2.562395,2
2020-01-23,11.957602,2.6092439,2
2020-01-30,12.100216,2.7326176,2
2020-02-06,11.58764,3.176479,2
2020-02-13,11.513965,3.183215,2
2020-02-20,11.565412,3.205481,2
2020-02-28,11.58446,3.2062201,2
2020-03-06,8.4509735,3.3844337,1
2020-03-16,7.997816,2.3529203,1
2020-03-23,2.7487159,0.78597695,0
2020-03-30,-0.12582655,-0.43572643,0
2020-04-08,-0.01895468,-0.3222648,0
2020-04-17,-0.022633204,-0.32581094,0
2020-04-24,-0.055069808,-0.35333398,0
2020-05-04,-0.01751816,-0.32025844,0
2020-05-11,-0.042265825,-0.34492293,0
2020-05-18,-0.020971041,-0.32410157,0
2020-05-26,-0.05172742,-0.35904175,0
2020-06-02,-0.02932301,-0.33256418,0
2020-06-09,-0.12832506,-0.44042906,0
2020-06-16,-0.13653713,-0.4496919,0
2020-06-23,-0.13983048,-0.45149556,0
2020-06-30,-0.15037599,-0.4650302,0
2020-07-07,-0.17294389,-0.49747515,0
2020-07-14,-0.18188387,-0.5085283,0
2020-07-21,-0.20277107,-0.52930456,0
2020-07-28,-0.17147903,-0.48940265,0
2020-08-04,-0.28133953,-0.6672215,0
2020-08-11,-0.27417102,-0.6594589,0
2020-08-18,-0.2874736,-0.67937106,0
2020-08-25,-0.27674574,-0.66341245,0
2020-09-01,-0.29211652,-0.6855066,0
2020-09-08,2.653945,0.79820836,0
2020-09-15,3.323429,1.1254448,0
2020-09-22,3.9607606,1.8588374,0
2020-09-29,8.019683,3.4065762,1
2020-10-07,8.047039,3.6472247,1
2020-10-14,7.709462,4.232496,1
2020-10-21,7.5384536,4.6712465,1
2020-10-28,9.336533,5.818075,1
2020-11-04,9.42489,5.81733,1
2020-11-11,9.398227,5.8103976,1
2020-11-18,9.6534605,5.9316583,1
2020-11-25,9.731235,6.057799,1
2020-12-03,10.090714,6.2424965,1
2020-12-10,10.104346,6.2360435,1
2020-12-17,10.144177,6.2501,1
2020-12-24,9.506605,5.9884953,1
2021-01-01,9.518283,5.9802365,1
2021-01-08,9.540221,5.982711,1
2021-01-15,9.817701,6.1661725,1
2021-01-22,9.505697,6.0896263,1
2021-02-01,9.003432,5.6682796,1
2021-02-08,8.465157,4.877435,1
2021-02-15,8.457437,4.8981733,1
2021-02-22,8.426232,4.9812875,1
2021-03-01,8.642883,4.6507096,1
2021-03-08,8.695864,4.559783,1
2021-03-16,8.6394415,4.714606,1
2021-03-23,10.57759,6.5731316,1
2021-03-31,9.281434,6.5416403,1
2021-04-08,9.253103,6.5166526,1
2021-04-16,7.4168057,5.9481125,1
2021-04-26,7.391767,5.9727707,1
2021-05-03,7.3340816,5.9471636,1
2021-05-10,7.3974767,5.97487,1
2021-05-18,7.386618,5.967281,1
2021-05-25,7.3685827,5.9875665,1
2021-06-01,7.450937,5.9309244,1
2021-06-08,7.443571,5.8820543,1
2021-06-15,7.3711486,5.970785,1
2021-06-22,7.5375133,5.20957,1
2021-06-29,7.533298,5.2329674,1
2021-07-06,7.548716,5.2232976,1
2021-07-13,7.487619,5.1402993,1
2021-07-20,7.48482,5.13696,1
2021-07-28,7.4736476,5.095788,1
2021-08-04,7.5630455,5.2220016,1
2021-08-11,7.553902,5.216191,1
2021-08-18,7.7478895,5.381803,1
2021-08-26,9.113699,4.2670493,1
2021-09-02,9.247798,3.875952,1
2021-09-09,9.227771,4.0750046,1
2021-09-17,12.460312,4.4637995,2
2021-09-24,12.621877,3.834172,2
2021-10-01,16.970455,4.5651317,2
2021-10-08,15.321712,3.590485,2
2021-10-18,15.184342,3.46887,2
2021-10-25,15.181094,3.4225023,2
2021-11-01,17.153662,4.120763,2
2021-11-09,17.23264,4.4614296,2
2021-11-16,17.27894,4.3313627,2
2021-11-24,17.355837,4.5615377,2
2021-12-01,15.082765,4.7628098,2
2021-12-08,12.275978,5.436425,2
2021-12-15,12.3868475,5.28717,2
2021-12-22,10.432991,6.44142,1
2021-12-29,10.424065,6.4498067,1
2022-01-05,9.714135,5.9225707,1
2022-01-12,9.654623,5.8570166,1
2022-01-19,9.778119,5.85609,1
2022-01-27,9.048306,5.389279,1
